AUC,D,M,gamma
-7004.006983,3.0,85.0,0.71
-7059.047486,3.0,18.0,0.13
-7050.527932999999,3.0,37.0,0.27
-7045.307263,5.0,4.0,0.08
-7015.871508,4.0,3.0,0.04
-7066.812849,3.0,8.0,0.02
-7017.364525,5.0,23.0,0.52
-7057.224859999999,5.0,12.0,0.23
-7021.722067000001,4.0,27.0,0.41000000000000003
-7059.079609,3.0,80.0,0.11
-7026.360334999999,5.0,61.0,0.35000000000000003
-7058.872904999999,3.0,68.0,0.19
-6675.226257,3.0,1.0,0.14
-7003.217876999999,3.0,39.0,0.5700000000000001
-7004.596369,5.0,93.0,0.61
-6917.243017,5.0,71.0,0.93
-7067.689944,4.0,90.0,0.07
-7069.828212,3.0,6.0,0.05
-6993.226256999999,3.0,65.0,0.74
-7071.175978,3.0,52.0,0.0
-7066.22905,5.0,32.0,0.09
-7060.650838,4.0,42.0,0.17
-7036.329609,3.0,47.0,0.33
-7066.655028,3.0,99.0,0.03
-7056.173184,4.0,88.0,0.12
-7047.410615000001,3.0,82.0,0.28
-7065.062849,3.0,57.0,0.01
-7058.110334999999,3.0,85.0,0.21
-7056.6829609999995,5.0,74.0,0.25
-7067.689944,4.0,16.0,0.07
-7058.812849,4.0,30.0,0.15
-6950.289106,3.0,95.0,0.81
-7069.828212,4.0,14.0,0.05
-7063.110334999999,3.0,76.0,0.1
-7012.321229000001,3.0,21.0,0.44
-7008.635475,5.0,24.0,0.64
-7065.062849,4.0,10.0,0.01
-7024.162011,4.0,27.0,0.4
-6871.069831999999,3.0,59.0,0.97
-7060.670391,5.0,69.0,0.18
-7059.047486,3.0,35.0,0.13
-6731.358939,4.0,1.0,0.03
-7066.22905,3.0,78.0,0.09
-7059.139665000001,3.0,91.0,0.23
-6985.849162,3.0,80.0,0.76
-7038.3156420000005,5.0,62.0,0.3
-7016.952514,3.0,72.0,0.49
-7060.364525,5.0,55.0,0.2
-7061.398045,3.0,86.0,0.16
-7059.079609,3.0,45.0,0.11
-7071.175978,5.0,54.0,0.0
-7069.828212,5.0,49.0,0.05
-7015.153631,5.0,66.0,0.38
-7067.689944,3.0,40.0,0.07
-7066.812849,3.0,37.0,0.02
-7058.8673180000005,5.0,51.0,0.14
-7057.575419,4.0,11.0,0.25
-7066.22905,3.0,34.0,0.09
-7071.175978,3.0,47.0,0.0
-7060.670391,5.0,42.0,0.18
-7069.550279000001,3.0,32.0,0.06
-7066.655028,3.0,84.0,0.03
-7057.0656420000005,4.0,19.0,0.12
-7059.002793000001,5.0,77.0,0.21
-7061.398045,3.0,60.0,0.16
-7013.113128,4.0,29.0,0.55
-7071.175978,5.0,53.0,0.0
-7071.175978,5.0,54.0,0.0
-7065.997206999999,5.0,81.0,0.08
-7068.325419,5.0,64.0,0.04
