AUC,Beta1,Beta2
7762.902235,10,3.8
7755.379888,10,3.9
7776.141061,10,4
7774.677374,10,4.1
7784.286313,10,4.2
7794.713687,10,4.3
7803.065642,10,4.4
7790.092179,10,4.5
7793.113128,10,4.6
7779.847765,10,4.7
7785.614525,10,4.8
7806.136872,10,4.9
7798.160615,10,5
7805.438547,10,5.1
7816.875698,10,5.2
7818.201117,10,5.3
7822.888268,10,5.4
7833.252793,10,5.5
7828.272346,10,5.6
7826.701117,10,5.7
7826.835196,10,5.8
7829.062849,10,5.9
7826.532123,10,6
7616.382682,11,0
7636.110335,11,0.1
7642.537709,11,0.2
7637.596369,11,0.3
7660.480447,11,0.4
7668.467877,11,0.5
7674.048883,11,0.6
7658.156425,11,0.7
7623.167598,11,0.8
7642.184358,11,0.9
7627.240223,11,1
7662.202514,11,1.1
7681.296089,11,1.2
7698.02933,11,1.3
7694.391061,11,1.4
7709.198324,11,1.5
7699.02933,11,1.6
7721.296089,11,1.7
7727.409218,11,1.8
7728.49162,11,1.9
7704.931564,11,2
7695.905028,11,2.1
7698.044693,11,2.2
7713.360335,11,2.3
7721.554469,11,2.4
7719.405028,11,2.5
7734.009777,11,2.6
7744.675978,11,2.7
7745.21648,11,2.8
7739.146648,11,2.9
7744.185754,11,3
7765.905028,11,3.1
7773.424581,11,3.2
7765.432961,11,3.3
7761.199721,11,3.4
7761.597765,11,3.5
7778.564246,11,3.6
7756.199721,11,3.7
7772.322626,11,3.8
7787.124302,11,3.9
7794.498603,11,4
7795.243017,11,4.1
7803.148045,11,4.2
7808.24581,11,4.3
7780.851955,11,4.4
7789.280726,11,4.5
7794.060056,11,4.6
7803.405028,11,4.7
7804.551676,11,4.8
7813.710894,11,4.9
7814.046089,11,5
7822.068436,11,5.1
7817.78352,11,5.2
7822.349162,11,5.3
7828.925978,11,5.4
7825.110335,11,5.5
7817.627095,11,5.6
7825.407821,11,5.7
7827.681564,11,5.8
7820.284916,11,5.9
7829.108939,11,6
7653.572626,12,0
7657.72067,12,0.1
7670.189944,12,0.2
7661.98324,12,0.3
7664,12,0.4
7659.865922,12,0.5
7632.259777,12,0.6
7642.625698,12,0.7
7633.551676,12,0.8
7631.096369,12,0.9
7683.252793,12,1
7685.74162,12,1.1
7703.534916,12,1.2
7716.308659,12,1.3
7713.194134,12,1.4
7732.023743,12,1.5
7734.994413,12,1.6
7741.865922,12,1.7
7726.420391,12,1.8
7725.72905,12,1.9
7720.635475,12,2
7719.22905,12,2.1
7727.526536,12,2.2
7737.980447,12,2.3
7747.951117,12,2.4
7742.247207,12,2.5
7759.469274,12,2.6
7740.412011,12,2.7
7717.234637,12,2.8
7737.847765,12,2.9
7767.493017,12,3
7769.173184,12,3.1
7761.087989,12,3.2
7769.244413,12,3.3
7772.668994,12,3.4
7765.99581,12,3.5
7769.671788,12,3.6
7775.315642,12,3.7
7801.311453,12,3.8
7807.572626,12,3.9
7803.801676,12,4
7815.378492,12,4.1
7791.463687,12,4.2
7792.769553,12,4.3
7794.372905,12,4.4
7800.674581,12,4.5
7802.25419,12,4.6
7808.251397,12,4.7
7803.870112,12,4.8
7802.958101,12,4.9
7814.488827,12,5
7820.927374,12,5.1
7828.079609,12,5.2
7820.051676,12,5.3
7823.296089,12,5.4
7823.713687,12,5.5
7828.205307,12,5.6
7823.817039,12,5.7
7831.506983,12,5.8
7843.459497,12,5.9
7853.467877,12,6
7649.472067,13,0
7651.930168,13,0.1
7639.593575,13,0.2
7677.569832,13,0.3
7665.444134,13,0.4
7676.847765,13,0.5
7667.568436,13,0.6
7657.550279,13,0.7
7699.490223,13,0.8
7714.121508,13,0.9
7725.460894,13,1
7739.118715,13,1.1
7711.420391,13,1.2
7716.958101,13,1.3
7736.247207,13,1.4
7748.575419,13,1.5
7731.674581,13,1.6
7729.25419,13,1.7
7730.782123,13,1.8
7734.400838,13,1.9
7732.687151,13,2
7734.821229,13,2.1
7738.308659,13,2.2
7734.177374,13,2.3
7734.628492,13,2.4
7745.125698,13,2.5
7742.393855,13,2.6
7746.870112,13,2.7
7763.00838,13,2.8
7758.920391,13,2.9
7772.294693,13,3
7769.062849,13,3.1
7782.212291,13,3.2
7784.451117,13,3.3
7774.972067,13,3.4
7782.659218,13,3.5
7772.924581,13,3.6
7799.610335,13,3.7
7801.243017,13,3.8
7795.667598,13,3.9
7797.652235,13,4
7785.645251,13,4.1
7791.614525,13,4.2
7794.396648,13,4.3
7796.790503,13,4.4
7806.441341,13,4.5
7799.812849,13,4.6
7804.395251,13,4.7
7809.706704,13,4.8
7820.928771,13,4.9
7825.480447,13,5
7825.575419,13,5.1
7827.752793,13,5.2
7824.656425,13,5.3
7822.24581,13,5.4
7831.189944,13,5.5
7838.393855,13,5.6
7846.437151,13,5.7
7851.682961,13,5.8
7843.410615,13,5.9
7834.699721,13,6
7666.166201,14,0
7688.853352,14,0.1
7685.575419,14,0.2
7686.988827,14,0.3
7683.043296,14,0.4
7676.194134,14,0.5
7667.923184,14,0.6
7706.670391,14,0.7
7703.287709,14,0.8
7716.967877,14,0.9
7723.988827,14,1
7706.871508,14,1.1
7728.418994,14,1.2
7758.801676,14,1.3
7753.347765,14,1.4
7748.751397,14,1.5
7752.761173,14,1.6
7743.189944,14,1.7
7741.526536,14,1.8
7720.878492,14,1.9
7727.406425,14,2
7734.513966,14,2.1
7741.089385,14,2.2
7754.030726,14,2.3
7752.523743,14,2.4
7741.51676,14,2.5
7752.546089,14,2.6
7753.691341,14,2.7
7764.490223,14,2.8
7782.163408,14,2.9
7780.050279,14,3
7770.188547,14,3.1
7780.652235,14,3.2
7779.868715,14,3.3
7775.648045,14,3.4
7797.858939,14,3.5
7796.944134,14,3.6
7797.410615,14,3.7
7796.23743,14,3.8
7797.850559,14,3.9
7784.773743,14,4
7797.751397,14,4.1
7791.581006,14,4.2
7795.993017,14,4.3
7799.668994,14,4.4
7801.935754,14,4.5
7814.77933,14,4.6
7830.357542,14,4.7
7835.01676,14,4.8
7831.931564,14,4.9
7838.924581,14,5
7835.27514,14,5.1
7830.019553,14,5.2
7833.414804,14,5.3
7834.430168,14,5.4
7827.572626,14,5.5
7834.768156,14,5.6
7833.018156,14,5.7
7824.402235,14,5.8
7821.425978,14,5.9
7818.053073,14,6
7680.27514,15,0
7682.26676,15,0.1
7692.448324,15,0.2
7685.497207,15,0.3
7692.889665,15,0.4
7677.189944,15,0.5
7702.946927,15,0.6
7718.913408,15,0.7
7738.406425,15,0.8
7750.829609,15,0.9
7742.643855,15,1
7756.853352,15,1.1
7758.687151,15,1.2
